Name,Description,Latitude,Longitude,InfoURL,ImageURL
"University of California, Santa Barbara",UCSB is a university on the coastline of California. It is home to thousands of students and one of the top universities in the nation.,34.414051,-119.848958,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",http://www.news.ucsb.edu/sites/www.news.ucsb.edu/files/styles/article_horizontal/public/images/2017/Storke%20Tower%20aerial.jpg?itok=KUdHKvci
Old Los Angeles Zoo,"The Old Los Angeles Zoo is just as it sounds, it is no longer the prominent zoo in Los Angeles. Since being abandoned, it has become a tourist area with spots to hike, set up a picnic, and view the old exhibits.",34.134188,-118.288963,https://californiathroughmylens.com/old-la-zoo-griffith-park,https://www.hikespeak.com/img/la/Griffith/Old_Zoo/Old_Zoo_Picnic_Area_IMG_5148.jpg
Yosemite National Park,"Yosemite National Park is a park located in central California. One of the most recognizable National Parks because of its different landmarks, such as their waterfalls of HalfDome. Yosemite is one of my favorite destinations because of its history and its sheer size.",37.86071,-119.531866,https://en.wikipedia.org/wiki/Yosemite_National_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tunnel_View%2C_Yosemite_Valley%2C_Yosemite_NP_-_Diliff.jpg/1280px-Tunnel_View%2C_Yosemite_Valley%2C_Yosemite_NP_-_Diliff.jpg
Golden Gate Bridge,"The Golden Gate Bridge is a suspension bridge spanning the Golden Gate, the one-mile-wide strait connecting San Francisco Bay and the Pacific Ocean.",37.82014, -122.478051,http://www.goldengatebridge.org/,https://cdn.vox-cdn.com/thumbor/p4mSCoRVwYnjNhdnFFM829EVubg=/0x0:4250x2833/1200x800/filters:focal(1977x870:2657x1550)/cdn.vox-cdn.com/uploads/chorus_image/image/54936727/shutterstock_529749235.0.jpg
"University of California, Riverside","University of California, Riverside is one of my favorite destinations because of several friends that have attended over the years. I have visited them several times and never failed to have a good time.",33.973714,-117.328097,https://www.ucr.edu/,https://media.glassdoor.com/l/93/ea/d5/6c/ucr.jpg
Marvin Braude Mulholland Gateway Park,"This is one of my favorite parks because it has always been close to my home and gave me a spot to spend time with friends. This park provides a great view of the San Fernando Valley, great hiking trails and a nice park.",34.13127,-118.553049,https://mrca.ca.gov/parks/park-listing/marvin-braude-mulholland-gateway-park/,https://www.nps.gov/samo/planyourvisit/images/Mulholland-Gateway-Park-3-web.gif
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Name,,,,,
Description,,,,,
Latitude,,,,,
Longitude,,,,,
InfoURL,,,,,
ImageURL,,,,,
